"filename", "language", "C++", "CMake", "Markdown", "YAML", "Dart", "comment", "blank", "total"
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\notebook\notebook_screen.dart", "Dart", 0, 0, 0, 0, 239, 8, 14, 261
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\reminder\reminder_screen.dart", "Dart", 0, 0, 0, 0, 252, 7, 12, 271
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\submain-screens\todo\todo_screen.dart", "Dart", 0, 0, 0, 0, 250, 14, 30, 294
"d:\Flutter_projects\updated\sds\Mystica\lib\screens\testing.dart", "Dart", 0, 0, 0, 0, 86, 6, 7, 99
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_reminder.dart", "Dart", 0, 0, 0, 0, 92, 5, 9, 106
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\add_task.dart", "Dart", 0, 0, 0, 0, 51, 0, 9, 60
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\album_item.dart", "Dart", 0, 0, 0, 0, 84, 12, 4, 100
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\image_item.dart", "Dart", 0, 0, 0, 0, 39, 5, 5, 49
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\journal_item.dart", "Dart", 0, 0, 0, 0, 119, 3, 7, 129
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\new_image.dart", "Dart", 0, 0, 0, 0, 62, 2, 8, 72
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\note_item.dart", "Dart", 0, 0, 0, 0, 141, 1, 6, 148
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\notebook_item.dart", "Dart", 0, 0, 0, 0, 171, 3, 10, 184
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\reminder_item.dart", "Dart", 0, 0, 0, 0, 149, 8, 7, 164
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\Items\todo_item.dart", "Dart", 0, 0, 0, 0, 123, 15, 7, 145
"d:\Flutter_projects\updated\sds\Mystica\lib\widgets\navigation.dart", "Dart", 0, 0, 0, 0, 239, 2, 4, 245
"d:\Flutter_projects\updated\sds\Mystica\pubspec.yaml", "YAML", 0, 0, 0, 42, 0, 55, 14, 111
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.cc", "C++", 6, 0, 0, 0, 0, 4, 5, 15
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 5, 6, 16
"d:\Flutter_projects\updated\sds\Mystica\windows\flutter\generated_plugins.cmake", "CMake", 0, 19, 0, 0, 0, 0, 6, 25
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.cpp", "C++", 45, 0, 0, 0, 0, 4, 13, 62
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 5, 9, 34
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 4, 10, 44
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 6, 2, 17
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.cpp", "C++", 53, 0, 0, 0, 0, 2, 10, 65
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 6, 6, 20
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.cpp", "C++", 183, 0, 0, 0, 0, 15, 48, 246
"d:\Flutter_projects\updated\sds\Mystica\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 407, 19, 10, 45, 7646, 443, 632, 9202
